TRANSACTION_AMT,TRANSACTION_DT
150,2015-04-04
77.35,2015-05-15
3.2,2015-04-03
16.83,2015-03-19
2047.88,2015-02-07
14.26,2015-04-03
48.28,2015-03-02
-824.6,2015-05-26
237.75,2015-01-20
11.95,2015-03-20
1019.75,2015-04-23
2250,2015-06-17
833.33,2015-02-28
0.58,2015-03-06
2000,2015-04-20
11.2,2015-02-07
468,2015-05-25
151.98,2015-01-30
6000,2015-06-30
268.78,2015-03-23
339.73,2015-06-05
3000,2015-05-28
20,2015-04-10
16.25,2015-04-03
129.87,2015-05-25
243.2,2015-01-08
153.55,2015-03-10
7.95,2015-04-28
500,2015-03-31
60.7,2015-03-02
196,2015-06-25
1988.22,2015-02-27
51.35,2015-02-06
387.68,2015-04-01
7234.74,2015-04-20
363.4,2015-06-14
121,2015-04-26
286.1,2015-05-01
5712.45,2015-06-29
187.32,2015-03-13
7.52,2015-04-24
80490.43,2015-05-04
55,2015-06-23
2000,2015-02-27
200.15,2015-05-06
1244.52,2015-05-29
7521.12,2015-01-05
210.6,2015-05-11
37,2015-06-22
466.2,2015-02-13
31.7,2015-01-06
169.54,2015-02-27
7561.4,2015-04-15
495.6,2015-05-22
1848.5,2015-03-11
5339.05,2015-01-13
160,2015-03-11
1832.37,2015-05-15
3152.77,2015-02-19
98,2015-05-19
98,2015-06-18
45.75,2015-05-13
231.26,2015-03-23
101.6,2015-04-13
1027.6,2015-01-15
37.9,2015-04-02
75,2015-03-26
64.89,2015-05-27
3000,2015-05-06
26.82,2015-06-17
5578.3,2015-03-23
1106.1,2015-04-30
133.28,2015-04-20
2000,2015-04-10
48.89,2015-03-26
4,2015-05-21
289.6,2015-04-29
268.6,2015-04-27
34.66,2015-01-09
1442.62,2015-05-01
36.69,2015-03-09
25500,2015-05-01
15.3,2015-02-06
61.15,2015-01-15
590,2015-06-04
53.4,2015-03-30
2400,2015-02-10
1250,2015-06-02
4430.74,2015-06-01
25.43,2015-03-27
500,2015-01-14
242.62,2015-06-04
300.12,2015-01-28
100,2015-02-28
36.58,2015-02-17
1595.03,2015-04-08
434.5,2015-03-10
80,2015-05-15
128.23,2015-05-24
42.5,2015-06-24
104.17,2015-03-05
177.21,2015-02-10
206.8,2015-01-07
25.4,2015-02-16
3828.13,2015-06-30
6535.6,2015-01-13
9.95,2015-06-22
122.54,2015-05-07
30,2015-03-04
185.1,2015-04-22
4500,2015-03-31
2.86,2015-01-23
50,2015-05-13
1177.12,2015-03-18
1482.94,2015-05-16
104.95,2015-06-03
1216.05,2015-05-18
20878.66,2015-03-19
1782.67,2015-01-30
230,2015-05-15
15.71,2015-03-13
1498.34,2015-04-30
74.98,2015-01-21
2093.04,2015-05-29
11.83,2015-06-03
82.23,2015-06-16
17.43,2015-03-16
1196.6,2015-04-28
20,2015-04-02
5847.74,2015-05-29
116.23,2015-04-01
53,2015-03-30
248.1,2015-02-20
138.3,2015-06-19
526.68,2015-06-12
605.49,2015-06-15
21.28,2015-04-28
217.55,2015-05-18
3739.14,2015-06-03
2570.61,2015-05-29
19374.46,2015-06-20
15,2015-06-01
268.1,2015-02-27
666.79,2015-06-18
1955,2015-05-07
1370.64,2015-05-04
37.08,2015-06-23
1700,2015-01-31
215.07,2015-03-10
311.71,2015-01-21
30,2015-05-15
100,2015-05-26
30,2015-06-02
1728.68,2015-05-29
1292.6,2015-04-12
242.49,2015-01-28
42.13,2015-03-19
2133,2015-02-27
14.82,2015-04-07
52.86,2015-04-23
362.67,2015-06-18
584.32,2015-04-15
1130,2015-03-25
49.68,2015-01-12
50.2,2015-03-02
837.94,2015-04-15
300,2015-06-04
1000,2015-02-14
57.11,2015-04-02
10386.67,2015-04-20
7580.09,2015-04-02
13.55,2015-02-06
1193.36,2015-01-30
497.13,2015-03-04
20.91,2015-04-15
1164.49,2015-06-19
110,2015-02-27
47.34,2015-05-15
44.95,2015-05-04
6.03,2015-06-23
275.19,2015-06-04
813.15,2015-05-15
112.25,2015-04-29
1100,2015-01-13
52.82,2015-04-14
508.01,2015-03-24
27,2015-04-13
16.75,2015-05-02
50.85,2015-06-01
197,2015-02-22
75,2015-01-23
1672.91,2015-06-15
60,2015-06-30
37.44,2015-03-17
448.49,2015-05-11
1340.37,2015-01-15
1000,2015-04-17
7349.67,2015-04-23
10333.5,2015-05-22
3894.72,2015-04-08
1760.77,2015-04-15
2014.94,2015-01-30
63.62,2015-06-22
2822.85,2015-06-30
250.1,2015-02-09
63.56,2015-05-08
2350,2015-03-04
201.73,2015-06-17
6000,2015-04-08
1815,2015-06-03
1.91,2015-05-09
82.5,2015-05-29
1163.67,2015-06-02
105.89,2015-02-04
521.42,2015-02-17
2015.26,2015-06-03
60.46,2015-06-23
780.42,2015-03-31
1381.64,2015-01-30
23.99,2015-03-30
13.44,2015-03-03
625,2015-04-28
128.37,2015-04-10
18,2015-06-04
2250,2015-02-10
425,2015-04-23
204,2015-02-27
6218.61,2015-05-27
666.76,2015-05-14
598.46,2015-06-01
1278.82,2015-06-30
3427.76,2015-02-05
31.8,2015-04-30
588.42,2015-05-08
750,2015-04-02
4.59,2015-05-12
473.19,2015-06-02
66.06,2015-06-08
5,2015-04-13
108468.27,2015-03-27
807.82,2015-02-01
1.89,2015-05-15
548.16,2015-01-21
100,2015-03-02
1287.19,2015-03-25
25,2015-03-03
47.41,2015-03-27
216.64,2015-01-05
1170.65,2015-02-13
36.1,2015-04-20
1319.23,2015-02-13
118.95,2015-04-27
364.83,2015-02-28
211.68,2015-05-21
3550.96,2015-01-06
96.75,2015-06-02
272.35,2015-04-14
4.32,2015-01-29
98.28,2015-05-12
1818.2,2015-03-20
5163.84,2015-04-08
125,2015-06-26
199.91,2015-03-30
88.05,2015-01-14
2957.52,2015-05-01
1718.17,2015-03-13
14750,2015-06-25
675,2015-01-16
111,2015-02-27
150,2015-04-16
238,2015-05-01
150,2015-03-13
869.33,2015-02-25
6023,2015-03-31
112.43,2015-05-29
35,2015-06-03
367.67,2015-03-31
119.53,2015-05-10
221.9,2015-06-03
150,2015-01-29
303.09,2015-01-16
18.2,2015-05-15
1278,2015-05-03
167.99,2015-05-21
150,2015-02-23
1762.7,2015-06-05
54.22,2015-01-29
140.61,2015-06-08
103804.87,2015-03-11
36.58,2015-01-14
1764.55,2015-03-18
6.44,2015-04-06
1782.42,2015-06-11
500,2015-05-01
11411.1,2015-04-21
18.9,2015-03-20
3872.58,2015-02-27
100,2015-02-15
1098.81,2015-05-05
833.33,2015-01-31
24514,2015-04-21
8000,2015-06-03
689.97,2015-05-19
6596.96,2015-06-17
58,2015-05-15
0.54,2015-05-12
12,2015-06-10
2612.94,2015-04-04
31.25,2015-06-09
6514.73,2015-03-09
256.42,2015-02-04
48848.54,2015-06-01
12,2015-04-30
2320,2015-02-19
116.67,2015-04-01
53.05,2015-06-26
90.4,2015-02-26
4000,2015-02-06
147.56,2015-06-05
184,2015-03-09
1986.14,2015-04-15
34.7,2015-01-05
280.9,2015-06-25
1500,2015-06-02
10,2015-06-17
1036.73,2015-06-12
72.69,2015-03-25
24.74,2015-06-14
58.24,2015-05-03
30,2015-02-11
258.17,2015-03-10
217.04,2015-03-04
25.5,2015-05-12
150,2015-02-09
172.69,2015-02-27
73.1,2015-04-06
1000,2015-06-18
250,2015-06-10
918.73,2015-02-27
30,2015-06-01
62.31,2015-04-30
2471.18,2015-01-16
232,2015-05-05
999.61,2015-05-05
100,2015-03-26
430,2015-02-01
1693.23,2015-06-30
80.85,2015-02-17
150,2015-03-01
2360.37,2015-03-31
490,2015-01-25
1500,2015-01-07
25,2015-02-19
973.4,2015-04-09
49,2015-06-06
30000,2015-06-04
2772.5,2015-05-04
114.87,2015-06-04
23.15,2015-02-03
300,2015-05-19
15.52,2015-01-29
557.51,2015-02-10
200,2015-05-01
50.63,2015-03-11
282.74,2015-05-29
3403.02,2015-01-15
45.27,2015-06-25
355.09,2015-03-22
65.81,2015-05-07
13.07,2015-03-17
81.67,2015-05-07
182.77,2015-04-21
18.75,2015-06-01
2317.69,2015-02-15
316.87,2015-06-09
292.64,2015-04-23
495.18,2015-06-09
92,2015-06-15
84.8,2015-03-26
50,2015-04-15
424.43,2015-01-15
12622.5,2015-03-14
78.79,2015-05-01
78,2015-04-27
45.52,2015-05-22
20000,2015-02-05
172.15,2015-06-17
300,2015-06-04
1775,2015-03-13
1350.12,2015-06-30
15.33,2015-02-26
54.9,2015-04-30
141.6,2015-06-08
19.23,2015-05-11
27,2015-02-28
958,2015-02-21
9101.3,2015-03-13
56.13,2015-02-03
445.04,2015-05-11
10.56,2015-03-16
25824.39,2015-04-30
7607.06,2015-02-13
72.4,2015-05-21
338.77,2015-04-01
743.08,2015-06-17
581.41,2015-03-12
121.1,2015-05-24
770.22,2015-04-01
482.2,2015-04-13
325,2015-02-12
210,2015-02-24
1211.2,2015-06-30
1213,2015-05-29
473.18,2015-06-29
500,2015-03-12
60,2015-02-20
201.6,2015-02-05
3107.85,2015-01-02
1500,2015-01-28
200.96,2015-06-03
4763.3,2015-06-12
230.17,2015-05-18
815.75,2015-01-08
1027.5,2015-02-10
2.78,2015-04-05
56.18,2015-04-14
35,2015-05-05
281.25,2015-02-09
2500,2015-06-18
31.44,2015-05-08
56,2015-06-23
500,2015-06-03
1789.34,2015-05-29
91.39,2015-05-11
453.47,2015-03-03
537.01,2015-01-27
30,2015-04-30
63.1,2015-01-09
7.55,2015-05-04
45,2015-04-09
285,2015-05-25
329.13,2015-06-12
15,2015-06-30
1250,2015-02-09
252191.13,2015-04-23
2011.42,2015-01-11
212.79,2015-01-05
3406.08,2015-02-15
10,2015-06-18
550.2,2015-01-22
75,2015-03-12
49.75,2015-04-21
1820,2015-04-03
444.75,2015-06-25
1337.98,2015-05-29
31,2015-02-28
2733.73,2015-06-30
1500,2015-05-15
124.6,2015-06-11
2418.57,2015-02-11
2.15,2015-05-15
155.96,2015-02-10
29.1,2015-05-13
55.9,2015-03-19
10.15,2015-03-23
5784,2015-06-11
182.44,2015-02-02
1.5,2015-05-22
40,2015-01-30
18.43,2015-03-26
4000,2015-02-09
218.2,2015-04-23
500,2015-04-19
2393.95,2015-05-31
139.75,2015-05-19
276.21,2015-06-08
315.7,2015-03-09
38.6,2015-04-15
3000,2015-06-02
85.93,2015-01-26
401.1,2015-01-20
418.12,2015-06-30
200,2015-02-13
211.87,2015-06-06
19,2015-02-27
233.87,2015-04-17
19.99,2015-03-09
471.1,2015-01-30
1140.87,2015-06-26
1740.86,2015-02-26
27.8,2015-01-03
225,2015-01-09
1924.56,2015-04-16
277.44,2015-03-25
79.95,2015-04-03
485.35,2015-04-08
3.57,2015-03-28
2171.01,2015-02-27
1050,2015-05-27
2490.92,2015-04-17
1881.61,2015-02-27
513.9,2015-03-18
150,2015-03-02
1220.62,2015-01-15
3052.48,2015-03-31
230.02,2015-02-26
1500,2015-02-18
166.25,2015-03-28
30,2015-05-06
20,2015-06-10
105.31,2015-01-21
270.96,2015-05-22
684.34,2015-02-05
150,2015-06-26
1054.33,2015-04-15
990,2015-02-17
75.34,2015-02-02
801.34,2015-06-21
1757.89,2015-01-15
400,2015-03-24
200.44,2015-05-27
5000,2015-02-24
36.79,2015-05-21
23851.59,2015-01-14
300,2015-01-15
207.59,2015-05-28
2653.46,2015-03-16
99.8,2015-04-14
29.51,2015-01-15
89.88,2015-05-28
4000,2015-04-06
2702.97,2015-03-06
624.2,2015-06-01
166.01,2015-06-02
202.98,2015-06-03
101.5,2015-06-01
240.04,2015-01-30
30.5,2015-03-06
1272.46,2015-01-31
1865.91,2015-02-05
1228.96,2015-01-27
702.4,2015-01-13
21.5,2015-04-02
2584.76,2015-04-30
43380.5,2015-03-31
50.95,2015-02-06
1595,2015-03-13
5000,2015-05-05
63.27,2015-01-27
155.24,2015-04-13
4800,2015-05-01
1076.5,2015-04-03
172.13,2015-04-14
120,2015-06-12
1050,2015-06-25
492.37,2015-05-05
-836.1,2015-03-04
901.7,2015-01-12
75,2015-04-17
587.32,2015-04-15
13.84,2015-01-21
83.92,2015-06-16
8000,2015-05-04
562.5,2015-04-03
5629.5,2015-03-11
1272.26,2015-03-13
1094.93,2015-02-04
1908.27,2015-03-31
493.88,2015-05-28
100,2015-03-29
420,2015-01-08
1903.57,2015-04-15
1804.88,2015-04-24
1988.23,2015-03-27
1.75,2015-03-10
56.68,2015-05-04
429.67,2015-04-01
1750,2015-02-06
55.82,2015-01-20
797.35,2015-05-15
5000,2015-04-02
12.51,2015-04-15
500,2015-03-30
66.65,2015-01-30
25,2015-06-16
0.2,2015-06-16
50,2015-05-05
29,2015-03-13
196.01,2015-01-22
683.04,2015-05-15
10.25,2015-01-20
0.05,2015-01-31
1749.73,2015-06-20
685,2015-01-28
5215.88,2015-03-27
301.73,2015-05-28
84.88,2015-03-13
59.82,2015-05-01
240.24,2015-06-02
20698,2015-05-29
258.77,2015-06-14
35,2015-04-03
162,2015-01-29
744.43,2015-02-25
6122.91,2015-05-06
286.32,2015-02-23
171.5,2015-02-04
16.95,2015-05-07
0.18,2015-03-04
5.75,2015-05-28
80.5,2015-03-23
981.75,2015-06-16
235.75,2015-05-15
809.78,2015-03-05
14.38,2015-04-06
428.5,2015-02-18
34.1,2015-04-12
152.1,2015-03-27
1500,2015-05-19
25,2015-04-15
3500,2015-05-14
479.36,2015-02-26
28.75,2015-02-16
83.81,2015-03-11
49.98,2015-05-29
37.93,2015-05-11
125,2015-01-25
155.57,2015-01-05
1857.73,2015-02-27
116.6,2015-02-18
5.25,2015-01-22
1962.71,2015-06-19
466.55,2015-01-14
37.9,2015-06-22
2.88,2015-05-09
1404.12,2015-04-15
3,2015-04-01
61.18,2015-02-04
250,2015-03-10
1100.49,2015-06-30
7.95,2015-06-16
95.69,2015-01-28
250.84,2015-02-25
108104.19,2015-05-18
1402.48,2015-05-29
441.2,2015-05-09
80,2015-01-27
193.68,2015-02-11
1518.36,2015-06-30
1000,2015-01-22
22.38,2015-05-31
210.97,2015-05-31
150,2015-02-21
10178.31,2015-03-06
56.89,2015-05-14
201.01,2015-05-06
184.4,2015-03-31
450,2015-01-07
1067.88,2015-06-25
1093.1,2015-06-30
7500,2015-02-02
73.18,2015-04-30
40,2015-01-08
15.45,2015-02-13
1000,2015-01-02
25,2015-03-17
25.49,2015-03-13
100,2015-02-13
3000,2015-05-18
197.1,2015-04-09
37.09,2015-06-12
665.81,2015-02-24
150,2015-03-17
3013.12,2015-01-15
11.3,2015-02-23
415,2015-04-22
1037.8,2015-04-06
8,2015-05-29
125.64,2015-02-05
178.07,2015-01-30
1917.97,2015-03-12
250,2015-06-20
346.61,2015-03-20
150,2015-02-23
3847.57,2015-04-24
80,2015-06-24
1192.42,2015-02-10
120,2015-03-12
1435.44,2015-06-10
5,2015-05-26
21.41,2015-05-26
125,2015-02-12
1687.32,2015-02-20
254.12,2015-06-26
294,2015-06-18
61.15,2015-03-03
723.14,2015-06-03
2825,2015-04-29
2757.71,2015-02-06
130,2015-02-11
158.13,2015-04-21
50.36,2015-06-08
60.6,2015-06-01
5,2015-03-31
77.46,2015-02-26
5.2,2015-03-16
45.63,2015-03-05
5.68,2015-03-28
412.2,2015-02-26
2170.02,2015-05-29
2500,2015-06-30
70.4,2015-03-04
282.5,2015-01-05
116.67,2015-02-18
18839,2015-03-12
15221.03,2015-02-27
21.95,2015-06-24
2418.76,2015-01-22
330.71,2015-03-18
4000,2015-02-26
57.88,2015-02-24
1028.63,2015-05-01
173.85,2015-05-15
140.1,2015-06-17
454.67,2015-06-12
56.95,2015-01-02
60,2015-06-30
8398,2015-06-01
1500,2015-05-15
359.42,2015-04-23
1000,2015-06-29
78.32,2015-05-29
63.61,2015-06-15
1973.75,2015-04-16
87.41,2015-01-11
77.28,2015-03-05
419,2015-04-17
4611.68,2015-06-18
20000,2015-01-07
-55,2015-06-19
120,2015-06-20
5063.24,2015-05-06
27.95,2015-04-27
422.99,2015-01-07
2172.65,2015-04-24
12,2015-06-22
107.52,2015-03-16
1750,2015-06-30
250,2015-03-04
2368.74,2015-01-15
150,2015-06-18
836.1,2015-01-05
379.87,2015-05-31
1189.69,2015-06-26
105,2015-05-05
15.95,2015-05-26
864.33,2015-02-15
762.46,2015-02-26
56.86,2015-04-30
3322.19,2015-04-15
55,2015-02-15
13.73,2015-04-24
51.94,2015-02-17
1648.88,2015-05-15
415.7,2015-02-17
450,2015-04-06
926.45,2015-02-28
205.85,2015-04-29
2353.32,2015-04-06
2007.97,2015-05-04
15976.45,2015-05-29
75.01,2015-03-25
15500,2015-06-17
2500,2015-05-05
1128.84,2015-01-29
162.42,2015-02-18
29.82,2015-03-26
29.94,2015-01-03
32.15,2015-03-31
326.15,2015-05-14
2000,2015-03-09
207.92,2015-02-26
605.5,2015-02-17
30,2015-04-30
623.86,2015-05-01
18.28,2015-04-22
431.25,2015-02-10
600,2015-06-11
74.71,2015-06-30
887.23,2015-06-03
1152.41,2015-05-30
954.37,2015-04-07
170.27,2015-05-27
5.05,2015-02-02
302.45,2015-03-31
1.36,2015-02-03
548.97,2015-03-31
160,2015-05-29
222.97,2015-05-08
38.55,2015-04-29
3000,2015-02-26
1609.8,2015-02-13
7500,2015-01-13
620.5,2015-02-02
223.45,2015-02-02
369.3,2015-04-21
28.73,2015-03-10
9.51,2015-03-18
3110.82,2015-01-29
12.66,2015-01-06
375,2015-04-02
1035.37,2015-03-13
0.1,2015-01-05
4863.11,2015-04-15
33.71,2015-06-03
75,2015-06-19
41.96,2015-02-13
-4,2015-06-01
299,2015-05-12
38.62,2015-06-07
420.74,2015-05-23
1386.16,2015-03-31
471.6,2015-03-22
1500,2015-01-02
543.6,2015-01-20
42.51,2015-04-01
94.27,2015-02-04
368.76,2015-06-23
145.3,2015-04-07
119.88,2015-02-23
1795.46,2015-01-17
66.27,2015-02-27
15.38,2015-05-07
907,2015-05-15
51.36,2015-02-03
10.12,2015-04-01
56.94,2015-05-21
1500,2015-06-30
360,2015-02-17
4.28,2015-06-22
260,2015-04-25
909,2015-04-28
501.4,2015-03-20
37.5,2015-06-25
254.33,2015-04-06
1321.08,2015-04-29
309,2015-03-31
8068.93,2015-02-23
325,2015-04-16
372.68,2015-05-05
1.27,2015-01-26
3588.91,2015-01-11
66.88,2015-01-02
803,2015-01-28
39,2015-05-22
50.36,2015-03-13
28.58,2015-05-06
153,2015-01-30
0.6,2015-05-03
44.25,2015-06-15
48.36,2015-03-23
593.94,2015-01-13
1366,2015-06-22
492.2,2015-04-27
124.22,2015-02-18
11283.19,2015-02-01
2947,2015-05-01
1652.12,2015-04-01
5,2015-02-20
38.46,2015-06-07
637,2015-02-28
348.3,2015-02-09
2575.53,2015-02-27
78.38,2015-06-21
221.99,2015-02-13
515,2015-04-01
1800,2015-03-31
31.79,2015-03-21
362.2,2015-06-30
45,2015-03-27
3894.8,2015-04-19
36,2015-06-30
38.7,2015-04-10
1000,2015-05-04
454.42,2015-04-20
1243.21,2015-03-31
339.99,2015-03-11
5.24,2015-01-21
535,2015-03-11
220.06,2015-01-26
266,2015-01-14
339.1,2015-01-15
60,2015-01-16
895.87,2015-02-02
2600,2015-06-25
5943.54,2015-03-04
425,2015-05-12
2706.45,2015-05-29
5777.76,2015-05-04
3.2,2015-04-24
507.5,2015-01-06
1230.79,2015-04-05
35,2015-05-31
6000,2015-03-31
4000,2015-06-01
7000,2015-06-08
3.95,2015-03-25
267.1,2015-02-20
65,2015-03-20
56.36,2015-05-14
1390.4,2015-04-09
3.54,2015-05-10
3550,2015-02-03
100,2015-03-05
1493.01,2015-02-28
5,2015-01-22
821.93,2015-05-11
160.11,2015-03-16
3536.42,2015-04-15
164.27,2015-06-05
1027.5,2015-03-04
26.56,2015-04-06
154.38,2015-05-01
147,2015-03-02
144.95,2015-04-07
1275.27,2015-04-16
324,2015-01-21
432.8,2015-02-24
5993.16,2015-03-13
1000.45,2015-03-13
333.05,2015-02-27
43974.94,2015-06-26
942.14,2015-02-26
24102.77,2015-04-09
400,2015-06-14
5.47,2015-04-25
6985,2015-05-11
988.98,2015-05-18
6529,2015-06-29
478.11,2015-02-23
125,2015-01-14
1038.06,2015-04-15
256.42,2015-03-14
11967.39,2015-01-06
129.15,2015-04-23
2900,2015-01-02
100,2015-05-02
69,2015-04-20
19.95,2015-06-01
4667.25,2015-06-21
847,2015-05-19
97.09,2015-05-05
1050,2015-02-12
1047.5,2015-04-13
100,2015-04-29
9.53,2015-06-01
3148.59,2015-01-30
25.62,2015-03-10
15987.64,2015-05-05
1500,2015-05-15
30,2015-04-30
800,2015-03-14
3019.96,2015-03-26
1535.04,2015-01-29
100000,2015-02-05
17.18,2015-06-08
2000,2015-01-20
1203.56,2015-01-15
78.13,2015-02-02
9.19,2015-03-02
371.58,2015-02-19
250,2015-03-04
235.81,2015-05-29
87.92,2015-03-12
9,2015-05-28
7.25,2015-06-04
933.08,2015-06-03
48.78,2015-06-09
116.9,2015-03-18
7295.92,2015-04-02
1000,2015-03-19
1200.43,2015-04-30
3283.22,2015-06-20
200,2015-05-29
5.5,2015-05-27
5.25,2015-01-05
450,2015-04-21
208.6,2015-06-05
1456,2015-03-08
158.08,2015-03-12
1200,2015-04-02
0.19,2015-06-11
9.68,2015-06-22
25.24,2015-04-06
2665.5,2015-05-06
150,2015-02-26
34.07,2015-01-22
2000,2015-06-19
26.43,2015-04-07
315.22,2015-03-24
57.65,2015-05-06
100,2015-06-05
167.53,2015-03-30
150.39,2015-03-06
113.1,2015-04-23
2985.85,2015-04-08
149,2015-03-06
1.96,2015-01-05
9.01,2015-05-21
60,2015-01-08
28.85,2015-02-04
1687.05,2015-06-20
150,2015-04-18
500,2015-04-02
39.95,2015-02-11
1437.2,2015-05-20
15.15,2015-02-17
7.88,2015-04-01
16640,2015-04-16
8850.78,2015-03-10
198,2015-01-15
197.5,2015-06-15
64.28,2015-06-03
180000,2015-03-24
154.24,2015-01-26
361.2,2015-03-04
1983.5,2015-04-01
184.95,2015-06-24
59.95,2015-06-14
420,2015-03-22
9739.95,2015-06-18
448.4,2015-01-08
106.5,2015-03-17
500.48,2015-02-06
242.75,2015-05-18
55.2,2015-05-13
1421.78,2015-06-30
51.99,2015-04-09
135,2015-02-25
7686.27,2015-05-20
605,2015-03-17
17078.53,2015-04-01
35.62,2015-03-03
250,2015-03-13
50,2015-04-13
349.6,2015-01-02
75,2015-01-25
144.65,2015-06-05
3783.3,2015-05-29
123.07,2015-04-08
144.95,2015-05-14
1755,2015-04-17
1000,2015-02-03
211.5,2015-06-24
55,2015-06-25
3930.59,2015-01-06
55,2015-04-29
219.53,2015-03-23
5,2015-03-02
76.51,2015-04-27
9,2015-05-21
62.75,2015-03-03
15.3,2015-04-08
234.86,2015-01-20
85.57,2015-06-24
14.8,2015-06-30
5173.16,2015-03-27
181,2015-01-05
205.6,2015-04-27
16.25,2015-02-10
414.19,2015-05-08
703.05,2015-04-17
5000,2015-05-01
60,2015-06-30
65,2015-01-12
74.68,2015-01-22
520,2015-02-06
856.57,2015-06-15
2481.31,2015-05-27
2000,2015-01-27
0.43,2015-03-07
907.18,2015-02-12
203.01,2015-05-13
1504.75,2015-03-20
750,2015-05-14
75,2015-03-22
858.95,2015-04-03
75,2015-04-12
125,2015-06-16
46.33,2015-01-23
9726.07,2015-05-18
249,2015-04-11
604.97,2015-01-05
522.1,2015-01-28
500,2015-02-12
408.2,2015-01-28
1285.53,2015-05-15
172.35,2015-05-14
375,2015-03-20
245,2015-04-20
7276.94,2015-03-18
1624.98,2015-04-22
13703.5,2015-05-21
149.19,2015-03-31
41.84,2015-04-02
65.71,2015-03-09
806.88,2015-03-04
250,2015-03-06
61.11,2015-01-05
200,2015-04-20
110.64,2015-02-25
0.87,2015-06-16
28,2015-06-22
40,2015-03-20
5184,2015-04-03
1697.4,2015-02-04
373.97,2015-06-08
800,2015-06-15
62.58,2015-05-04
1611.04,2015-01-15
150,2015-01-08
266.58,2015-05-23
434,2015-06-23
4082.96,2015-01-20
200,2015-01-25
993.22,2015-02-24
285.91,2015-03-04
10,2015-06-24
100,2015-01-08
2634.2,2015-05-20
2881.04,2015-04-30
4908.6,2015-02-20
803.6,2015-06-08
0.02,2015-04-06
1000,2015-03-24
1.08,2015-04-10
176,2015-02-13
50,2015-05-05
638.99,2015-04-07
271,2015-03-27
785,2015-06-02
500,2015-06-02
700,2015-03-26
27.5,2015-06-17
257.96,2015-02-11
146.72,2015-04-06
1057.48,2015-05-29
800,2015-02-17
5032.91,2015-02-25
968,2015-02-11
799.1,2015-03-02
24.19,2015-03-20
2926.82,2015-02-06
175,2015-06-23
2470.14,2015-06-26
5000,2015-01-20
351.07,2015-06-12
90.21,2015-06-18
7500,2015-03-20
