CMTE_ID,CAND_NAME,CAND_PTY_AFFILIATION,CMTE_NM,CMTE_PTY_AFFILIATION,NAME,CITY,STATE,ZIP_CODE,TRANSACTION_AMT,TRANSACTION_DT,PURPOSE,CATEGORY_DESC,ENTITY_TP
C00503110,"PETERS, SCOTT",DEM,SCOTT PETERS FOR CONGRESS,DEM,AT&T,CAROL STREAM,IL,60197,164.13,2015-02-17,TELECOMMUNICATION SERVICES,,ORG
C00000935,,,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,DEM,HILTON,BEVERLY HILLS,CA,90210,205.45,2015-05-25,TRAVEL,Travel Expenses,ORG
C00000935,,,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,DEM,1754 LA POSADA LLC LA POSADA DE SANTA FE RESORT AND SPA,SANTA FE,NM,87501,19065.39,2015-04-14,GENERIC CMTE. EVENTS/MEETINGS,,ORG
C00464339,"DUFFY, SEAN",REP,DUFFY FOR CONGRESS,REP,DELTA AIRLINES,MANKATO,MN,560017561,390.7,2014-12-22,TRAVEL EXPENSE,,ORG
C00458844,"RUBIO, MARCO",REP,MARCO RUBIO FOR PRESIDENT,REP,CMDI,TYSONS CORNER,VA,22182,1.48,2015-01-12,MERCHANT FEES,,
C00456335,,,PHYSICIANS MUTUAL PAC,,PEPCO,PHILADELPHIA,PA,191013608,29.54,2015-05-07,UTILITIES,,
C00492991,"BLUMENTHAL, RICHARD",DEM,BLUMENTHAL FOR CONNECTICUT,DEM,CITIZENS BANK,PROVIDENCE,RI,029407000,20,2015-04-03,BANK FEE,,
C00264697,"BROWN, SHERROD",DEM,FRIENDS OF SHERROD BROWN,DEM,UPS,PHILADELPHIA,PA,191700001,143.12,2015-04-03,SHIPPING,,
C00368571,,,ADVANCE THE MAJORITY POLITICAL ACTION COMMITTEE,,ROBERT WATKINS & COMPANY,TAMPA,FL,33606,370,2015-01-22,ACCOUNTING SERVICES,,ORG
C00193433,,,EMILY'S LIST,,"MAJMUDAR, SANSKRUTI",WASHINGTON,DC,20015,1095.65,2015-02-15,SALARIES,,IND
C00237198,"BOEHNER, JOHN A.",REP,FRIENDS OF JOHN BOEHNER,REP,SPEEDWAY,WEST CHESTER,OH,45069,30.09,2015-01-15,TRAVEL,,ORG
C00258475,"ESHOO, ANNA G.",DEM,ANNA ESHOO FOR CONGRESS,DEM,CHASE CARD SERVICES,PALATINE,IL,60094,1476.09,2015-04-22,FUNDRAISING CATERING,Solicitation and Fundraising Expenses,ORG
C00433136,"TSONGAS, NICOLA S",DEM,THE NIKI TSONGAS COMMITTEE,DEM,ACTBLUE TECHNICAL SERVICES,CAMBRIDGE,MA,021385106,199.52,2015-04-26,PROCESSING FEE,,ORG
C00007880,,,CULAC THE PAC OF CREDIT UNION NATIONAL ASSOCIATION,,FORTE GLOBAL PAYMENT SYSTEMS,ALLEN,TX,75013,107.16,2015-05-04,STATEMENT FEE,Administrative/Salary/Overhead Expenses,ORG
C00444620,"THOMPSON, GLENN MR",REP,FRIENDS OF GLENN THOMPSON,REP,UNITED STATES POSTAL SERVICE,STATE COLLEGE,PA,16801,220,2015-05-06,OFFICE EXPENSES,Administrative/Salary/Overhead Expenses,ORG
C00465971,"DOLD, ROBERT JAMES JR",REP,DOLD FOR CONGRESS,REP,STRIPE,SAN FRANCISCO,CA,941102043,44.7,2015-04-03,CC TRANSACTION FEES,,ORG
C00376665,"COOPER, JAMES H S",DEM,COOPER FOR CONGRESS,DEM,EXPRESS MERCHANT PROCESSING SOLUTIONS,ATLANTA,GA,30339,54.9,2015-03-04,CREDIT CARD PROCESSING FEES,Administrative/Salary/Overhead Expenses,ORG
C00075820,,,NRCC,REP,THE LUKENS COMPANY,ARLINGTON,VA,222063613,2886.24,2015-01-23,FINANCE CONSULTING,,ORG
C00570424,,,BLUE OHIO PAC,,MCTIGUE MCGINNIS & COLOMBO LLC,COLUMBUS,OH,432154801,600,2015-02-22,LEGAL SERVICES,,ORG
C00235572,,,OPPORTUNITY AND RESPONSIBILITY RESTORED IN OUR NATION PAC  (ORRINPAC),,THE LARRISON GROUP LLC,WASHINGTON,DC,20027,188.7,2015-06-18,FUNDRAISING CONSULTING,,ORG
C00546358,"ADAMS, ALMA SHEALEY",DEM,ALMA ADAMS FOR CONGRESS,DEM,"KALIK & ASSOCIATES, INC.",BETHESDA,MD,208171227,3083.88,2015-03-05,FUNDRAISING CONSULTING,,ORG
C00003418,,,REPUBLICAN NATIONAL COMMITTEE,REP,"GRISWOLD, JULIA C",WASHINGTON,DC,20003,1402.46,2015-04-30,PAYROLL,,IND
C00394866,"BOUSTANY, CHARLES W. DR. JR.",REP,"CHARLES BOUSTANY JR. MD FOR CONGRESS, INC.",REP,FEDERAL EXPRESS,DALLAS,TX,752660481,22.1,2015-02-11,EXPRESS SHIPPING,Administrative/Salary/Overhead Expenses,ORG
C00545467,"HURD, WILLIAM",REP,HURD FOR CONGRESS,REP,EXXONMOBIL,IRVING,TX,95039,1.11,2015-01-13,CREDIT CARD PAYMENT 1/13: TRAVEL: FUEL,,ORG
C00420935,"MCCARTHY, KEVIN",REP,KEVIN MCCARTHY FOR CONGRESS,REP,"WESTERN PACIFIC RESEARCH, INC.",BAKERSFIELD,CA,933097027,2500,2015-04-07,STRATEGIC CAMPAIGN CONSULTING,Solicitation and Fundraising Expenses,ORG
C00441014,"WITTMAN, ROBERT J MR.",REP,ROB WITTMAN FOR CONGRESS,REP,CAPITOL TECH SOLUTIONS,SACRAMENTO,CA,95814,180,2015-03-24,WEBSITE HOSTING,Administrative/Salary/Overhead Expenses,ORG
C00369686,"BORDALLO, MADELEINE Z. MS.",DEM,COMM. TO ELECT MADELEINE Z. BORDALLO,DEM,SFW,PASADENA,MD,21122,142,2015-05-18,MEETING EXPENSE,Administrative/Salary/Overhead Expenses,ORG
C00547349,,,NEXTGEN CLIMATE ACTION COMMITTEE,,STRIPE,SAN FRANCISCO,CA,941102043,1.92,2015-03-25,CREDIT CARD PROCESSING FEE,,ORG
C00510461,"AGUILAR, PETE",DEM,PETE AGUILAR FOR CONGRESS,DEM,UBER,SAN FRANCISCO,CA,941033162,8,2015-05-18,TRAVEL,,ORG
C00000935,,,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,DEM,WALGREENS,CHICAGO,IL,60601,15.82,2015-04-28,TRAVEL,Travel Expenses,ORG
C00494617,"RUBIO, MARCO",REP,RUBIO VICTORY COMMITTEE,,FOOD NETWORK KITCHEN,FORT LAUDERDALE,FL,33315,25.04,2015-03-02,BAKER REIMBURSEMENT: TRAVEL: FOOD,,ORG
C00312017,"KIND, RONALD JAMES",DEM,KIND FOR CONGRESS COMMITTEE,DEM,WELLS FARGO BANK,LA CROSSE,WI,546014050,11,2015-06-08,BANK FEE,,ORG
C00193433,,,EMILY'S LIST,,AMTRAK.COM,WASHINGTON,DC,20002,170,2015-03-26,TRAVEL/ACCOMMODATION /MEALS,,ORG
C00224717,,,PHILIP A. HART DEMOCRATIC CLUB,DEM,"PATTON, JOSEPH",SAINT CLAIR SHORES,MI,48081,225,2015-05-01,BINGO PRIZE,,IND
C00000935,,,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,DEM,"VILLAGIO INN & SPA, LLC",YOUNTVILLE,CA,94599,9017,2015-02-03,GENERIC CMTE. EVENTS/MEETINGS,,ORG
C00458463,"PORTMAN, ROB",REP,PORTMAN FOR SENATE COMMITTEE,,ADVANCED PAYROLL SOLUTIONS,WORTHINGTON,OH,430854743,99.12,2015-02-28,PAYROLL SERVICE FEE,Administrative/Salary/Overhead Expenses,
C00491118,,,LUNDBECK LLC EMPLOYEE POLITICAL ACTION COMMITTEE,,BANK OF AMERICA,CHICAGO,IL,60603,110.1,2015-02-17,BANK SERVICE CHARGE,Administrative/Salary/Overhead Expenses,ORG
C00000935,,,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,DEM,COAST TO COAST,SIMI VALLEY,CA,93063,559.9,2015-04-15,GENERIC CMTE. SUPPLIES,,ORG
C00410761,"CASTOR, KATHY",DEM,CASTOR FOR CONGRESS,DEM,UNITED HEALTH,MINNEAPOLIS,MN,55440,310.39,2015-06-01,EMPLOYEE BENEFITS,,ORG
C00224691,"ROHRABACHER, DANA",REP,ROHRABACHER FOR CONGRESS,REP,"HANCOCK, MIKE",NEWPORT BEACH,CA,92663,360,2015-01-30,HQ REPAIR,Administrative/Salary/Overhead Expenses,IND
C00354332,,,MACOMB COUNTY DEMOCRATIC COMMITTEE,DEM,"ELROD, DAWN",FRASER,MI,48026,850,2015-05-29,BINGO PRIZE,,IND
C00075820,,,NRCC,REP,"BOEDIGHEIMER, ALEXANDER",WASHINGTON,DC,20003,1111.64,2015-02-13,PAYROLL,,IND
C00010603,,,DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,DEM,LITTLE ITALY,NEW YORK,NY,10175,39.25,2015-01-14,"CATERING,FOOD & BEVERAGE",,ORG
C00099267,,,TEXAS DEMOCRATIC PARTY,DEM,BLUE CROSS BLUE SHIELD,DALLAS,TX,752660149,1758.6,2015-06-08,EMPLOYEE AND DEPENDENT HEALTH INSURANCE,,ORG
C00498121,"WILLIAMS, ROGER",REP,ROGER WILLIAMS FOR U S CONGRESS COMMITTEE,REP,AMERICAN EXPRESS,PHOENIX,AZ,850723852,7.38,2015-06-22,CREDIT CARD FEES,,ORG
C00343236,"CULBERSON, JOHN",REP,CULBERSON FOR CONGRESS,REP,UNITED AIRLINES,CHICAGO,IL,606660100,3.99,2015-04-28,MEAL,Travel Expenses,ORG
C00476317,"BOOZMAN, JOHN",REP,BOOZMAN FOR ARKANSAS,REP,INTERNAL REVENUE SERVICE,KANSAS CITY,MO,649990001,539.35,2015-05-15,PAYROLL TAXES,Administrative/Salary/Overhead Expenses,
C00561696,"JOHNSON, CONSTANCE NEVLIN",DEM,CONNIE JOHNSON FOR OKLAHOMA,DEM,L.L. JAMES COMPANY,OKLAHOMA CITY,OK,73127,196.89,2015-03-18,"PRINTING- LETTERHEAD, ENVELOPES",Solicitation and Fundraising Expenses,
C00384529,"MURKOWSKI, LISA",REP,LISA MURKOWSKI FOR US SENATE,,PAYPAL,SAN JOSE,CA,951312021,123.6,2015-03-16,CREDIT CARD FEES,,
C00040857,,,OAKLAND COUNTY DEMOCRATIC PARTY,DEM,"PRIZE WINNERS, NON-VOUCHER",SOUTHFIELD,MI,480752436,3320,2015-04-25,NON VOUCHER PRIZE PAYOUTS,,IND
C00567073,,,"SERVICE AND LEADERSHIP PAC, INC",,STRICKLAND BROCKINGTON LEWIS LLP,ATLANTA,GA,30309,325,2015-03-31,LEGAL FEES,,ORG
C00540302,"SCOTT, TIMOTHY E",REP,TIM SCOTT FOR SENATE,REP,HILTON,GREENVILLE,SC,296153538,236.17,2015-02-23,HOTEL,Travel Expenses,
C00309567,,,LYNDON LAROUCHE POLITICAL ACTION COMMITTEE,DEM,RING CENTRAL,SAN MATEO,CA,94404,320.9,2015-03-17,TELEPHONE (SEE AMERICAN EXPRESS),,ORG
C00445023,"GUTHRIE, S. BRETT HON.",REP,GUTHRIE FOR CONGRESS,REP,IRS CENTER,OGDEN,UT,842010001,401.41,2015-02-04,TAX,Administrative/Salary/Overhead Expenses,ORG
C00575795,"CLINTON, HILLARY RODHAM",DEM,HILLARY FOR AMERICA,DEM,"JONES, ELIZABETH",NEW YORK,NY,101855256,30,2015-04-30,PHONE,,IND
C00279851,"THOMPSON, BENNIE G.",DEM,FRIENDS OF BENNIE THOMPSON,DEM,NATIONAL DEMOCRATIC  CLUB,WASHINGTON,DC,200034701,50,2015-01-23,CLUB CHARGES,,ORG
C00384693,"ISAKSON, JOHN HARDY",REP,GEORGIANS FOR ISAKSON,,COMM360,MARIETTA,GA,300610688,3000,2015-05-22,FUNDRAISING,,
C00456335,,,PHYSICIANS MUTUAL PAC,,AMERICAN AIRLINES,FORT WORTH,TX,76155,562.1,2015-04-20,TRAVEL EXPENSES,,
C00143743,,,REPUBLICAN PARTY OF TEXAS,REP,"THOMAS GRAPHICS, INC.",AUSTIN,TX,787142226,795.61,2015-04-29,PARTY FUNDRAISING PRINTING,,ORG
C00420935,"MCCARTHY, KEVIN",REP,KEVIN MCCARTHY FOR CONGRESS,REP,GRAND VALLEY CONSULTING,ALEXANDRIA,VA,223052902,16580.6,2015-05-07,SEE MEMO ITEMS,Solicitation and Fundraising Expenses,ORG
C00373464,"RYAN, TIMOTHY J.",DEM,TIM RYAN FOR CONGRESS,DEM,HOUSE GIFT SHOP,WASHINGTON,DC,20515,69.15,2015-02-10,GIFTS FOR SUPPORTERS,,ORG
C00030718,,,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,UNK,WELLS FARGO MERCHANT SERVICES,WALNUT CREEK,CA,945982820,813.23,2015-04-30,MERCHANT CREDIT CARD FEES,,ORG
C00085506,,,HAWAII REPUBLICAN PARTY,REP,US AIRWAYS,PHOENIX,AZ,850340648,1056,2015-01-28,REIMBURSE - AIRFARE FOR EVENT SPEAKER,Solicitation and Fundraising Expenses,ORG
C00548271,"JENKINS, EVAN H",REP,JENKINS FOR CONGRESS,REP,THEODORE COMPANY LLC,ALEXANDIRA,VA,22308,1183.75,2015-03-26,FUNDRAISING CONSULTING,Administrative/Salary/Overhead Expenses,ORG
C00509729,"MASSIE, THOMAS H.",REP,THOMAS MASSIE FOR CONGRESS,REP,UNITED AIRLINES,CHICAGO,IL,606067147,513.6,2015-06-25,TRAVEL,Administrative/Salary/Overhead Expenses,ORG
C00577270,"FLORES, LUCY",DEM,FLORES FOR CONGRESS,DEM,SOUTHWEST AIRLINES,DALLAS,TX,752351908,5.6,2015-05-26,TRAVEL,,ORG
C00191247,,,ALASKA DEMOCRATIC PARTY,DEM,CARDMEMBER SERVICE/KEY BANK,CLEVELAND,OH,441016438,58.67,2015-06-23,FINANCE CHARGE,,ORG
C00573980,"KELLY, JOHN TRENT",REP,KELLY FOR CONGRESS,REP,"MORTON, TYLER",STARKVILLE,MS,39759,462,2015-06-04,FUNDRAISING,Solicitation and Fundraising Expenses,IND
C00577312,"FIORINA, CARLY",REP,CARLY FOR PRESIDENT,REP,US AIRWAYS,PHOENIX,AZ,85034,600.2,2015-06-12,TRAVEL,,ORG
C00350520,"ISSA, DARRELL",REP,ISSA FOR CONGRESS,REP,"PAYPAL, INC",SAN JOSE,CA,95125,1.44,2015-02-10,CREDIT CARD PROCESSING FEES,Administrative/Salary/Overhead Expenses,ORG
C00574624,"CRUZ, RAFAEL EDWARD ""TED""""""",REP,CRUZ FOR PRESIDENT,,UNITED AIRLINES,HOUSTON,TX,77210,561.1,2015-06-17,TRAVEL,,ORG
C00385526,"BURR, RICHARD",REP,RICHARD BURR COMMITTEE; THE,REP,UBER CAR SERVICE,SAN FRANCISCO,CA,941052625,62.77,2015-05-28,REIMBURSE: TAXI: HIGHWOOD CAPITAL CONSUL,,
C00422964,"EDWARDS, DONNA FERN",DEM,DONNA EDWARDS FOR CONGRESS,DEM,ACTBLUE TECHNICAL SERVICES,CAMBRIDGE,MA,02138,410.8,2015-02-08,FUND RAISING FEES,,ORG
C00505552,"HEITKAMP, HEIDI",DEM,HEIDI FOR SENATE,DEM,SCHIMANSKI & ASSOCIATES,WASHINGTON,DC,200025818,5000,2015-05-01,FUNDRAISING SERVICES,,
C00457705,,,COUNTRY FIRST POLITICAL ACTION COMMITTEE INC. (COUNTRY FIRST PAC),,CAMPAIGN SOLUTIONS,ALEXANDRIA,VA,22314,1234.78,2015-01-26,WEB SERVICE,,ORG
C00384016,"NEUGEBAUER, RANDY HONORABLE",REP,NEUGEBAUER CONGRESSIONAL COMMITTEE,REP,DISTRICT PROVISIONS & CATERING,WASHINGTON,DC,20002,2636.25,2015-03-27,CATERING,,ORG
C00344473,"STABENOW, DEBBIE",DEM,STABENOW FOR US SENATE,DEM,FIRST FINANCIAL BANK,CINCINNATI,OH,452091967,16,2015-01-05,PARKING,,
C00075820,,,NRCC,REP,STRATEGIC MARKETING AND MAILING,CHAMPAIGN,IL,61822,80665.41,2015-03-13,PRINTING,,ORG
C00547570,"PERDUE, DAVID",REP,PERDUE FOR SENATE,REP,VIRGIN MOBILE CORPORATION,WARREN,NJ,070592730,43.95,2015-06-30,TELEPHONE,,
C00461046,"TOOMEY, PATRICK JOSEPH",REP,FRIENDS OF PAT TOOMEY,REP,COLD SPARK MEDIA,MECHANICSBURG,PA,170555686,6101.87,2015-02-04,GRAPHIC DESIGN/PRINTING,,
C00363648,,,FIRST STATE PAC,,SUNTRUST,HAGERSTOWN,MD,217416600,19.95,2015-06-03,CREDIT CARD PROCESSING FEES,,ORG
C00547349,,,NEXTGEN CLIMATE ACTION COMMITTEE,,"MARKHAM GROUP, LLC",LITTLE ROCK,AR,722012006,15000,2015-04-08,EVENT MANAGEMENT SERVICES,,ORG
C00552489,,,AT THE TABLE!,,MEHRAN PROPERTY MANAGEMENT,HUNTINGTON,NY,117437600,110,2015-06-02,PAC OFFICE RENT,,ORG
C00250720,"JOHNSON, SAM MR.",REP,FRIENDS OF SAM JOHNSON,REP,RICHARDSON CHAMBER OF COMMERCE,RICHARDSON,TX,750805297,250,2015-05-12,ORGANIZATION DUES,Administrative/Salary/Overhead Expenses,ORG
C00522573,"NADLER, JERROLD L. MR.",DEM,ISRAEL-NADLER VICTORY FUND,,NGP VAN INC.,WASHINGTON,DC,200055006,300,2015-02-27,DATABASE SERVICES,,ORG
C00193433,,,EMILY'S LIST,,"NACHEM, HILLARY",WASHINGTON,DC,20003,2349.72,2015-02-15,SALARIES,,IND
C00309567,,,LYNDON LAROUCHE POLITICAL ACTION COMMITTEE,DEM,"ASCHER, ROCHELLE",WASHINGTON,DC,20041,4.3,2015-01-02,REIMBURSE TRAVEL MEALS,,IND
C00159954,,,O'MELVENY & MYERS POLITICAL ACTION COMMITTEE,,O'MELVENY & MYERS LLP,LOS ANGELES,CA,90071,904.5,2015-04-30,ADMINISTRATIVE SERVICES FOR APRIL 2015,,ORG
C00401224,,,ACTBLUE,,DELTA DENTAL,BOSTON,MA,02114,2310.49,2015-01-22,BENEFITS: DENTAL INSURANCE,,ORG
C00540443,,,AMERICANS FOR RESPONSIBLE SOLUTIONS-PAC,,WELLS FARGO BANK,PORTLAND,OR,972286995,752.17,2015-06-11,BANK FEE,,ORG
C00469163,"DEUTCH, THEODORE ELIOT",DEM,TED DEUTCH FOR CONGRESS COMMITTEE,DEM,"KATZ WATSON GROUP, INC.",WASHINGTON,DC,20002,7500,2015-02-18,FUNDRAISING CONSULTING SERVICES,,ORG
C00573519,"CARSON, BENJAMIN S SR MD",REP,CARSON AMERICA,REP,UNITED AIRLINES,CHICAGO,IL,60606,1175.4,2015-06-08,TRAVEL,,ORG
C00552588,"LAWRENCE, BRENDA LULENAR",DEM,BRENDA LAWRENCE FOR CONGRESS,DEM,"LIVOTI, JOE",LANSING,MI,489178524,2500,2015-02-05,FUNDRAISING CONSULTING,Solicitation and Fundraising Expenses,IND
C00000935,,,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,DEM,U.S. AIRWAYS,TEMPE,AZ,85281,437.6,2015-02-05,TRAVEL,Travel Expenses,ORG
C00495846,"WAGNER, ANN L.",REP,ANN WAGNER FOR CONGRESS,REP,FEDEX (CORPORATE),MEMPHIS,TN,38116,17.28,2014-12-18,SHIPPING EXPENSES,,ORG
C00443218,"WICKER, ROGER F",REP,WICKER FOR SENATE,REP,REEDS,TUPELO,MS,388043915,172.67,2015-06-26,GIFTWARE,,
C00480384,"FRANKEN, AL",DFL,AL FRANKEN FOR SENATE 2014,DEM,"LOCKRIDGE, GRINDAL, NAUEN, P.L.L.P.",MINNEAPOLIS,MN,554012159,1335.58,2015-06-03,LEGAL FEES,,
C00511600,,,SALESFORCE.COM INC POLITICAL ACTION COMMITTEE,,WELLS FARGO,WASHINGTON,DC,200053000,15,2015-05-18,BANK FEE,,ORG
C00575795,"CLINTON, HILLARY RODHAM",DEM,HILLARY FOR AMERICA,DEM,"HALLE, MICHAEL",NEW YORK,NY,101855256,30,2015-05-15,PHONE,,IND
C00363689,,,TALLATCHEE CREEK INC. PAC,NON,"CONATSER, ELIZABETH EMBER",WASHINGTON,DC,20017,3150,2015-04-14,SOLICITATION AND FUNDRAISING EXPENSES,,IND
C00354332,,,MACOMB COUNTY DEMOCRATIC COMMITTEE,DEM,"LEWIS, SANDY",WARREN,MI,48091,100,2015-04-17,BINGO PRIZE,,IND
C00041160,,,MICHIGAN REPUBLICAN PARTY,REP,MAMMOTH MARKETING GROUP,AUSTIN,TX,787012217,21405.2,2015-01-07,CREATIVE AND PRODUCTION FUNDRAISING-NON CAND/FEA,,ORG
C00554709,"DESAULNIER, MARK",DEM,MARK DESAULNIER FOR CONGRESS,DEM,AT&T MOBILITY,BROOKHAVEN,GA,303195309,187.45,2015-05-19,TELEPHONE SERVICE,,ORG
C00042366,,,DSCC,DEM,ATLANTA JOURNAL CONSTITUTION,ATLANTA,GA,30346,14.99,2015-04-24,PUBLICATIONS/ SUBSCRIPTIONS,,
C00359034,"GRAVES, SAMUEL B JR 'SAM'",REP,GRAVES FOR CONGRESS,REP,PETRO-CARD 24,TARKIO,MO,64491-,72.43,2015-03-07,TRAVEL: AUTO FUEL,,ORG
C00492785,"CRUZ, RAFAEL EDWARD TED",REP,TED CRUZ FOR SENATE,REP,SOUTHWEST AIRLINES,DALLAS,TX,75235,-207,2015-06-01,VENDOR REFUND-TRAVEL,,
C00545798,,,AMERICAN LIBERTY PAC,,"MAELSTROM TECHNOLOGY SERVICES, LLC",BROOKFIELD,WI,53005,293.55,2015-01-26,ONLINE FUNDRAISING,,ORG
C00385773,"WASSERMAN SCHULTZ, DEBBIE",DEM,DEBBIE WASSERMAN SCHULTZ FOR CONGRESS,DEM,CARD SERVICE INTERNATIONAL INC.,HOUSTON,TX,770603520,24.74,2015-04-07,CREDIT CARD DISCOUNT,,ORG
C00238865,"DELARUO, ROSA L",DEM,FRIENDS OF ROSA DELAURO,DEM,CITIZENS BANK,NEW HAVEN,CT,065101801,1566.76,2015-03-04,PAYROLL TAXES,,ORG
C00499053,"NOLAN, RICHARD M.",DFL,NOLAN FOR CONGRESS VOLUNTEER COMMITTEE,DFL,US AIRWAYS,ARLINGTON,VA,222270002,25,2015-01-28,TRAVEL/AIRFARE,,ORG
C00000935,,,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE,DEM,TELEFLORACOM PICKS RCV,LOS ANGELES,CA,90064,129.94,2015-03-16,GENERIC CMTE. SUPPLIES,,ORG
C00509968,"CARTWRIGHT, MATT",DEM,CARTWRIGHT FOR CONGRESS,DEM,GOOGLE,MOUNTAIN VIEW,CA,940431351,40,2015-04-08,EMAIL SERVICE,,ORG
C00311043,"BRADY, KEVIN",REP,BRADY FOR CONGRESS,REP,HOUSE GIFT SHOP,WASHINGTON,DC,205150001,216.8,2014-12-10,VOLUNTEER GIFTS,Solicitation and Fundraising Expenses,ORG
C00333427,"WALDEN, GREGORY P MR.",REP,WALDEN FOR CONGRESS,REP,COLUMBIA BANK,HOOD RIVER,OR,970310032,50,2015-01-31,BANK FEE,Administrative/Salary/Overhead Expenses,ORG
